Observer,First_Participation,Year_of_first_training,Training_Type,Data_entry_notes
R21,2017,NA,NA,volunteer activity page has hours listed but no record of orientation
R18,2017,NA,NA,NA
R17,2017,2017,Traditional,HRL lab
R10,2017,2017,Traditional,NA
S26,2017,2017,Traditional,NA
S28,2017,NA,NA,volunteer activity page has hours listed but no record of orientation
S14,2017,2017,Traditional,NA
S29,2017,2017,Traditional,NA
S27,2017,NA,NA,volunteer activity page has hours listed but no record of orientation
S16,2017,2017,Traditional,NA
S15,2017,2017,Traditional,NA
S25,2017,NA,NA,volunteer activity page has hours listed but no record of orientation
S13,2017,2017,Traditional,HRL lab
S12,2017,2017,Traditional,NA
T6,2017,2017,Traditional,NA
T12,2017,NA,NA,volunteer activity page has hours listed but no record of orientation
V4,2017,2017,Traditional,NA
W2,2017,2017,Traditional,NA
Y3,2017,NA,NA,NA
A30,2018,2018,Traditional,NA
A19,2018,NA,NA,NA
A18,2018,2018,Traditional,NA
A20,2018,2018,Traditional,NA
A34,2018,2018,Traditional,NA
A17,2018,2018,Traditional,NA
B15,2018,2018,Traditional,NA
C12,2018,2018,Traditional,NA
C18,2018,2018,Traditional,NA
C22,2018,2018,Traditional,NA
D14,2018,2018,Traditional,NA
D16,2018,NA,NA,NA
D15,2018,2018,Traditional,NA
E8,2018,2018,Traditional,NA
E9,2018,2018,Traditional,NA
F5,2018,2018,Traditional,NA
I2,2018,2018,Traditional,NA
NA,2018,2018,Traditional,NA
J29,2018,2018,Traditional,NA
J30,2018,2018,Traditional,NA
J53,2018,2018,Traditional,NA
J34,2018,2018,Traditional,NA
J32,2018,2018,Traditional,NA
J52,2018,2018,Traditional,NA
J36,2018,2018,Traditional,NA
J28,2018,2018,Traditional,NA
J35,2018,2018,Traditional,NA
J55,2018,2018,Traditional,HRL lab
J40,2018,2018,Traditional,NA
J33,2018,2018,Traditional,NA
J31,2018,2018,Traditional,NA
K29,2018,2018,Traditional,NA
K17,2018,2018,Traditional,NA
K16,2018,2018,Traditional,NA
K28,2018,2018,Traditional,HRL lab
K30,2018,2018,Traditional,NA
L29,2018,NA,NA,NA
L31,2018,2018,Traditional,NA
L33,2018,NA,NA,NA
L26,2018,2018,Traditional,NA
L19,2018,2018,Traditional,NA
L28,2018,2018,Traditional,NA
L27,2018,2018,Traditional,NA
L18,2018,2018,Traditional,NA
L32,2018,NA,NA,NA
M25,2018,NA,NA,NA
M23,2018,2018,Traditional,2019 orientation listed as a returning volunteer so assumed attended orientation the year before
M42,2018,NA,NA,NA
M24,2018,2018,Traditional,NA
M39,2018,NA,NA,NA
M41,2018,NA,NA,volunteer activity page has hours listed but no record of orientation
M22,2018,2018,Traditional,NA
M21,2018,2018,Traditional,NA
M40,2018,NA,NA,volunteer activity page has hours listed but no record of orientation
N8,2018,NA,NA,NA
N3,2018,2018,Traditional,NA
N4,2018,2018,Traditional,NA
P11,2018,2018,Traditional,NA
P6,2018,2018,Traditional,NA
P7,2018,2018,Traditional,NA
P5,2018,2018,Traditional,NA
R20,2018,NA,NA,volunteer activity page has hours listed but no record of orientation
R22,2018,2018,Traditional,NA
R19,2018,2018,Traditional,NA
T13,2018,NA,NA,NA
T18,2018,2018,Traditional,NA
A24,2019,2019,Online,NA
A32,2019,NA,NA,NA
A25,2019,NA,NA,NA
A23,2019,2019,Online,HRL lab
NA,2019,NA,NA,NA
A22,2019,2019,Online,NA
A21,2019,2019,Online,NA
NA,2019,NA,NA,NA
A26,2019,2019,Online,NA
A35,2019,NA,NA,volunteer activity page has hours listed but no record of orientation
NA,2019,2019,Online,NA
B16,2019,2019,Online,NA
B17,2019,2019,Online,NA
C13,2019,2019,Online,NA
C20,2019,2019,Online,NA
C14,2019,2019,Online,NA
C19,2019,NA,NA,volunteer activity page has hours listed but no record of orientation
D17,2019,2019,Online,NA
D31,2019,2019,Online,NA
D19,2019,2019,Online,NA
D18,2019,2019,Online,NA
D32,2019,NA,NA,NA
E10,2019,2019,Online,NA
E12,2019,NA,NA,volunteer activity page has hours listed but no record of orientation
E17,2019,NA,NA,NA
E11,2019,2019,Online,NA
E16,2019,NA,NA,NA
E13,2019,NA,NA,NA
NA,2019,2019,Online,NA
F6,2019,2019,Online,NA
G9,2019,NA,NA,NA
H2,2019,2019,Online,NA
J44,2019,2019,Online,NA
J43,2019,2019,Online,NA
J42,2019,2019,Online,NA
J39,2019,2019,Online,NA
J41,2019,2019,Online,NA
J57,2019,NA,NA,"labeled as ""companion hiker"""
J56,2019,NA,NA,NA
J38,2019,2019,Online,NA
J37,2019,2019,Online,HRL lab
K34,2019,NA,NA,NA
L30,2019,NA,NA,there is a Linda Miller that attended training 2019 but data sheet was double checked and name on sheet is Lindsay not Linda
L34,2019,2019,Online,NA
L20,2019,2019,Online,NA
L35,2019,NA,NA,NA
M28,2019,2019,Online,NA
M45,2019,2019,Online,HRL lab
M47,2019,NA,NA,NA
M48,2019,NA,NA,NA
M52,2019,NA,NA,NA
M44,2019,2019,Online,NA
M26,2019,2019,Online,NA
M49,2019,NA,NA,volunteer activity page has hours listed but no record of orientation
M50,2019,2019,Online,NA
M43,2019,2019,Online,NA
M46,2019,NA,NA,NA
P12,2019,2019,Online,NA
P8,2019,2019,Online,NA
P9,2019,2019,Online,NA
P13,2019,NA,NA,NA
P14,2019,2019,Online,NA
Q1,2019,NA,NA,NA
R12,2019,2019,Online,NA
R13,2019,2019,Online,NA
S19,2019,2019,Online,NA
S20,2019,2019,Online,NA
S18,2019,NA,NA,volunteer activity page has hours listed but no record of orientation
S17,2019,2019,Online,HRL lab
S34,2019,2019,Online,NA
S31,2019,NA,NA,volunteer activity page has hours listed but no record of orientation
S30,2019,2019,Online,NA
S32,2019,NA,NA,NA
S33,2019,2019,Online,NA
T14,2019,2019,Online,NA
T15,2019,2019,Online,NA
T8,2019,2019,Online,NA
T7,2019,2019,Online,NA
T9,2019,2019,Online,NA
T17,2019,2019,Online,NA
V5,2019,2019,Online,NA
W3,2019,NA,NA,volunteer activity page has hours listed but no record of orientation
Y2,2019,2019,Online,NA
